Filename,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
SR2_20170505_200807_000.wav,0.028,0.088,52,43.5,42,0,1.4,22,4,9,38.8,169.3,14,25.6,192000,N1,0.5,Pippip,5
SR2_20170511_221706_000.wav,0.084,0.054,57,46.5,45,0,1.7,26,5,8,48.3,89.1,12,24.7,192000,N1,0.79,Pippip,5
SR2_20170512_011846_000.wav,0.01,0.014,57,54,53.2,0,2.5,38,7,16,55.4,218.3,15,41.8,192000,N1,0.892,Pippyg,5
SR2_20170514_032419_000.wav,0.062,0.062,52,47.2,47.2,0,1.4,15,5,12,35.1,149.2,11,19.7,192000,N1,0.872,Pippip,5
SR2_20170516_033323_000.wav,0.026,0.016,70,51.8,48.8,0,0.5,15,2,3,82.6,132.5,17,59.7,192000,N1,0.706,Pippip,5
SR2_20170517_015930_000.wav,0.02,0.046,52,49.5,47.2,0,1.3,17,6,14,28.3,175.9,8,17.1,192000,N1,0.834,Pippip,5
SR2_20170517_220825_000.wav,0.046,0.048,53,47.2,45.8,0,2.1,26,5,11,48.9,113.8,16,32.7,192000,N1,0.858,Pippip,5
SR2_20170526_015745_000.wav,0.054,0.044,69,49.5,46.9,0,1.6,21,4,8,50.6,148.1,14,24.3,192000,N1,0.904,Pippip,5
SR2_20170526_030110_000.wav,0.046,0.076,56,51.4,46.5,0,2.1,34,4,16,61.7,144.7,24,52.9,192000,N1,0.792,Pippip,5
SR2_20170526_204758_000.wav,0.03,0.052,54,51.8,51.8,0,0.8,13,3,6,26.4,197.3,10,15.7,192000,N1,0.786,Pippip,5
SR2_20170527_011808_000.wav,0.024,0.03,75,78.4,79.1,0,0.6,13,1,4,56.4,102.4,16,20.9,192000,N1,0.378,noise,5
SR2_20170528_020903_000.wav,0.012,0.014,58,51,49.5,0,1.2,14,4,7,53.3,111.9,14,20.3,192000,N1,0.876,Pippip,5
SR2_20170528_235050_000.wav,0.016,0.028,70,68.2,68.2,0,0.9,20,3,6,123.6,234,34,79.7,192000,N1,0.696,Pippyg,5
SR2_20170529_233053_000.wav,0.02,0.046,59,57.8,57,0,1.3,10,5,7,29,167.1,11,10.5,192000,N1,0.91,Pippyg,5
SR2_20170530_001905_000.wav,0.046,0.054,52,48.8,46.5,0,1.2,24,5,10,58.8,121.9,16,45.4,192000,N1,0.854,Pippip,5
SR2_20170530_003515_000.wav,0.012,0.034,44,43.1,42.8,0,2.3,14,9,19,53.4,119.3,14,40.4,192000,N1,0.616,Pippip,5
SR2_20170530_012046_000.wav,0.02,0.022,50,45.8,45,0,1.4,12,7,13,38,99.5,11,23.4,192000,N1,0.85,Pippip,5
SR2_20170530_013805_000.wav,0.054,0.074,50,45.8,44.2,0,3.1,58,7,18,55.3,218.8,16,41.7,192000,N1,0.798,Pippip,5
SR2_20170602_204446_000.wav,0.042,0.038,56,50.2,49.5,0,1.1,16,6,16,110.2,183.1,35,101.7,192000,N1,0.842,Pippip,5
SR2_20170602_205108_000.wav,0.03,0.04,63,61.5,60.8,0,1,11,2,8,32.4,123.9,10,22.3,192000,N1,0.756,Pippyg,5
SR2_20170602_205452_000.wav,0.018,0.042,56,51,49.5,0,1.3,20,8,14,96.2,191.7,35,86,192000,N1,0.776,Pippip,5
SR2_20170603_001738_000.wav,0.018,0.03,46,45,44.2,0,3.1,16,8,20,51.2,100.3,13,32.4,192000,N1,0.836,Pippip,5
SR2_20170603_002424_000.wav,0.036,0.04,38,31.5,24.8,0,1.7,13,11,29,56.5,124.3,19,47,192000,N1,0.35,Nycnoc,5
SR2_20170603_002544_000.wav,0.006,0.016,51,51.8,51.8,0,1.3,6,6,14,37.4,103.2,10,29.5,192000,N1,0.688,Pippyg,5
SR2_20170603_024630_000.wav,0.026,0.088,52,51,50.2,0,1.1,14,2,8,27.8,70,10,19.4,192000,N1,0.804,Pippip,5
SR2_20170605_210847_000.wav,0.072,0.074,54,51,49.5,0,1.8,40,3,10,24.3,89.5,8,16.5,192000,N1,0.89,Pippip,5
SR2_20170605_211151_000.wav,0.03,0.026,52,49.5,48.8,0,1,12,6,8,31.2,78.2,11,24.7,192000,N1,0.764,Pippip,5
SR2_20170605_223509_000.wav,0.026,0.05,51,43.5,42.8,0,2.8,45,7,17,72.5,201.1,20,50.9,192000,N1,0.688,Pippip,5
SR2_20170606_010757_000.wav,0.046,0.042,60,57,56.2,0,2.2,24,5,14,46.9,212,17,35.6,192000,N1,0.872,Pippyg,5
SR2_20170606_030329_000.wav,0.032,0.066,54,48.8,45.8,0,2.6,25,6,19,62.6,138.7,14,52.7,192000,N1,0.908,Pippip,5
SR2_20170606_030511_000.wav,0.026,0.062,53,48.8,46.9,0,1.6,19,3,10,32,112.4,9,22.7,192000,N1,0.87,Pippip,5
SR2_20170607_210343_000.wav,0.012,0.02,52,50.2,48.8,0,1.2,19,3,7,30.2,76.1,13,16.8,192000,N1,0.874,Pippip,5
SR2_20170607_210542_000.wav,0.02,0.038,52,50.2,48.8,0,1,15,3,6,18.6,80.7,6,13.2,192000,N1,0.834,Pippip,5
SR2_20170607_211358_000.wav,0.04,0.03,55,51,49.1,0,0.6,12,2,4,54.3,168.1,18,26.9,192000,N1,0.786,Pippip,5
SR2_20170608_022642_000.wav,0.078,0.032,54,51,48.8,0,1.3,13,4,12,42.4,103.5,15,31.2,192000,N1,0.748,Pippip,5
SR2_20170608_024829_000.wav,0.022,0.04,51,46.5,45.8,0,2.4,33,5,18,32.3,104.8,10,22.9,192000,N1,0.89,Pippip,5
SR2_20170608_025135_000.wav,0.054,0.038,43,46.5,35.2,0,1.3,17,3,5,52.2,142.4,20,30.5,192000,N1,0.562,Pleaur,5
SR2_20170609_211618_000.wav,0.022,0.024,55,50.2,49.5,0,0.8,11,4,9,69.2,106.1,26,54.5,192000,N1,0.738,Pippip,5
SR2_20170609_224518_000.wav,0.008,0.008,50,50.2,50.2,0,1.2,12,7,13,34.2,79.2,8,10.9,192000,N1,0.702,Pippyg,5
SR2_20170610_013657_000.wav,0.014,0.016,44,43.5,42.8,0,2.2,11,7,16,29.1,76.1,10,13.3,192000,N1,0.63,Pippip,5
SR2_20170612_213928_000.wav,0.012,0.02,54,51.8,49.5,0,1.9,29,5,9,39.8,156.6,12,25.3,192000,N1,0.896,Pippip,5
SR2_20170612_213933_000.wav,0.026,0.026,66,53.2,52.5,0,1.4,29,3,4,62,311.6,20,35.9,192000,N1,0.682,Pippip,5
SR2_20170615_022127_000.wav,0.02,0.034,54,51,47.2,0,1.2,16,5,14,34.8,225.6,13,23.9,192000,N1,0.866,Pippip,5
SR2_20170615_022203_000.wav,0.036,0.06,54,50.6,48.8,0,1.8,40,3,11,57.6,104.6,18,46.2,192000,N1,0.862,Pippip,5
SR2_20170928_175755_000.wav,0.03,0.076,21,20.2,19.9,0,4.1,26,6,46,17.7,63,7,8.2,192000,N1,0.718,Nycnoc,5
SR2_20170928_175802_000.wav,0.018,0.066,18,18,18,0,0.3,8,7,37,17.1,57.4,5,6.6,192000,N1,0.506,Nycnoc,5
SR2_20170928_182928_000.wav,0.02,0.08,24,22.5,21,0,4.9,33,11,58,45.8,159.3,13,32.6,192000,N1,0.78,Nycnoc,5
SR2_20170928_182933_000.wav,0.032,0.008,26,24.8,23.2,0,0.1,1,10,10,38.2,38.2,15,27.2,192000,N1,0.254,Nycnoc,5
SR2_20170928_182937_000.wav,0.042,0.066,23,20.2,19.5,0,1.4,8,10,36,23.9,60.5,9,15,192000,N1,0.492,Nycnoc,5
SR2_20170928_184953_000.wav,0.01,0.018,58,58.5,58.5,0,2.8,32,6,19,50.9,104.1,10,36.3,192000,N1,0.882,Pippyg,5
SR2_20170928_190710_000.wav,0.006,0.018,52,51.8,51.8,0,3.5,35,7,21,54.4,137.3,16,39.4,192000,N1,0.694,Pippyg,5
SR2_20170928_195312_000.wav,0.024,0.024,40,37.5,35.2,0,0.8,15,7,20,31.2,68,10,20.5,192000,N1,0.534,Pippip,5
SR2_20170928_205420_000.wav,0.018,0.038,38,37.5,37.5,0,4.5,35,9,34,51.5,161.4,12,35.6,192000,N1,0.67,Pipnat,5
SR2_20170928_212553_000.wav,0.032,0.034,47,44.2,45.8,0,2.4,14,4,23,93.6,142.8,32,74.2,192000,N1,0.51,Myodau,5
SR2_20170928_215527_000.wav,0.04,0.042,47,43.5,45,0,1.4,11,4,14,53.2,91.3,16,36.3,192000,N1,0.402,Myodau,5
SR2_20170928_230117_000.wav,0.05,0.052,55,51,48.8,0,1.8,11,5,16,45.9,95,15,38.3,192000,N1,0.85,Pippip,5
SR2_20170929_005230_000.wav,0.018,0.03,47,46.5,45,0,3.7,47,7,32,61.3,186.1,16,49.1,192000,N1,0.888,Pippip,5
SR2_20170929_010639_000.wav,0.022,0.04,47,45.8,45,0,2.1,14,6,32,41.2,125.1,8,26.1,192000,N1,0.878,Pippip,5
SR2_20170929_012201_000.wav,0.034,0.05,48,42,37.5,0,2.8,19,5,19,93.3,136.1,28,68.9,192000,N1,0.486,Myodau,5
SR2_20170929_044316_000.wav,0.038,0.048,53,47.2,46.5,0,3.3,59,6,23,79.7,273.4,21,65.3,192000,N1,0.85,Pippip,5
SR2_20170929_172319_000.wav,0.026,0.04,18,17.2,17.2,0,0.9,5,4,43,15.8,58.7,7,2.9,192000,N1,0.46,Nycnoc,5
SR2_20170929_172323_000.wav,0.014,0.274,17,17.2,17.2,0,0.8,6,16,61,21.2,69.4,6,11.9,192000,N1,0.644,Nycnoc,5
SR2_20170929_180500_000.wav,0.03,0.048,18,17.2,17.2,0,0.5,9,7,19,17.9,30.4,5,14.8,192000,N1,0.382,Nycnoc,5
SR2_20170929_184808_000.wav,0.004,0.058,18,18,17.6,0,1.2,8,4,66,19.1,69.3,7,3.6,192000,N1,0.546,Nycnoc,5
SR2_20170929_194714_000.wav,0.006,0.03,57,57,56.2,0,1.4,16,7,13,22.6,65.7,6,7.7,192000,N1,0.774,Pippyg,5
SR2_20170929_195754_000.wav,0.006,0.032,45,45,45,0,4.7,51,9,36,89.3,173.9,23,70.2,192000,N1,0.86,Pippip,5
SR2_20170929_200434_000.wav,0.006,0.01,46,45.8,44.2,0,1,5,6,18,20.1,60.5,6,12.5,192000,N1,0.804,Pippip,5
SR2_20170929_203510_000.wav,0.008,0.018,48,47.2,47.2,0,4.6,54,7,25,49.8,120.4,15,35.5,192000,N1,0.88,Pippip,5
SR2_20170929_205555_000.wav,0.014,0.03,52,52.5,52.5,0,4.2,27,8,24,44.1,102.5,12,29.1,192000,N1,0.864,Pippyg,5
SR2_20170929_212306_000.wav,0.006,0.028,48,47.2,46.5,0,3.8,21,9,33,81.5,147,16,67.3,192000,N1,0.846,Pippip,5
SR2_20170929_215223_000.wav,0.078,0.04,44,47.2,42,0,2.4,50,2,9,113,221.1,38,89.5,192000,N1,0.676,Pleaur,5
SR2_20170929_215536_000.wav,0.014,0.014,50,48,47.2,0,1.2,7,5,12,21.6,64.6,6,8.5,192000,N1,0.862,Pippip,5
SR2_20170929_215540_000.wav,0.018,0.02,53,48,48,0,1.6,12,6,17,42,89.3,10,34.3,192000,N1,0.852,Pippip,5
SR2_20170929_220509_000.wav,0.014,0.056,52,47.2,46.5,0,3.1,29,6,28,72.7,163,21,61.4,192000,N1,0.894,Pippip,5
SR2_20170929_222502_000.wav,0.014,0.012,45,45.8,45.4,0,3.9,37,9,18,41.9,117,14,30.1,192000,N1,0.8,Pippip,5
SR2_20170929_223900_000.wav,0.008,0.024,51,48,46.5,0,3.4,46,8,31,90,232.8,28,74.3,192000,N1,0.908,Pippip,5
SR2_20170929_234022_000.wav,0.09,0.046,37,36,36,0,1.4,11,3,16,65.3,117.7,25,48.3,192000,N1,0.648,Pleaur,5
SR2_20170930_011132_000.wav,0.008,0.02,44,43.5,42.8,0,4,33,7,34,44.2,169.1,14,31.9,192000,N1,0.764,Pippip,5
SR2_20170930_011452_000.wav,0.056,0.034,50,45.8,48,0,2.4,34,4,22,113.8,213.9,45,93.8,192000,N1,0.53,Myodau,5
SR2_20170930_180505_000.wav,0.006,0.038,44,43.5,42.8,0,4.9,37,20,39,80.3,172.1,26,68.9,192000,N1,0.742,Pippip,5
SR2_20170930_180510_000.wav,0.02,0.042,42,42,42,0,0.7,6,6,9,17.5,21.4,5,8,192000,N1,0.38,Pippip,5
SR2_20170930_181933_000.wav,0.02,0.034,44,42.8,42.8,0,1.9,24,8,21,34,68.8,9,22.7,192000,N1,0.59,Pippip,5
SR2_20170930_182522_000.wav,0.074,0.082,46,46.5,45.4,0,2.2,43,6,24,36.6,58.7,11,25.5,192000,N1,0.866,Pippip,5
SR2_20170930_184838_000.wav,0.076,0.106,37,35.2,28.5,0,2.8,34,6,23,97.3,148.3,31,79.5,192000,N1,0.69,Pleaur,5
SR2_20170930_184851_000.wav,0.018,0.05,46,45,45,0,5,33,8,35,65.5,134.4,18,53.1,192000,N1,0.846,Pippip,5
SR2_20170930_184856_000.wav,0.014,0.032,51,48.8,47.2,0.1,0.6,12,6,7,18.6,28.5,7,10.7,192000,N1,0.824,Pippip,5
SR2_20170930_194909_000.wav,0.012,0.028,48,46.5,46.5,0,1.5,16,6,19,18.8,66.8,6,12.6,192000,N1,0.77,Pippip,5
SR2_20170930_222136_000.wav,0.06,0.058,51,50.2,48.8,0,2,44,3,15,196.8,448.8,76,171.1,192000,N1,0.634,Myonat,5
SR2_20170930_232816_000.wav,0.032,0.086,46,42.4,42.8,0,4.9,74,6,29,37.7,108.2,13,25.2,192000,N1,0.866,Pippip,5
SR2_20171001_010632_000.wav,0.012,0.05,41,42,42,0,3.7,29,10,38,64.6,145.1,15,48,192000,N1,0.588,Pippip,5
SR2_20171001_021147_000.wav,0.102,0.128,36,35.2,26.2,0,4.3,225,2,11,24.2,45,10,20.5,192000,N1,0.572,Plaalb,5
SR2_20171001_023719_000.wav,0.028,0.036,48,46.5,46.5,0,2.8,25,7,23,35.5,87,9,22.6,192000,N1,0.852,Pippip,5
SR2_20171001_025452_000.wav,0.01,0.024,49,45.8,45.8,0,3.1,17,9,30,58.5,164.7,19,45.1,192000,N1,0.886,Pippip,5
SR2_20171001_030232_000.wav,0.072,0.14,45,44.2,44.2,0,3.2,75,6,21,75.4,260.8,30,63.5,192000,N1,0.468,Myodau,5
SR2_20171001_031844_000.wav,0.058,0.112,38,36.8,35.2,0,1.8,74,3,22,26.7,60.6,11,20.6,192000,N1,0.434,Plaalb,5
SR2_20171001_033521_000.wav,0.12,0.134,41,38.2,37.9,0,1.1,30,3,27,30.3,64.6,10,27.3,192000,N1,0.384,noise,5
SR2_20171001_033750_000.wav,0.076,0.084,40,38.2,36,0,1.2,36,3,37,26.7,82.7,10,19,192000,N1,0.428,noise,5
SR2_20171001_033842_000.wav,0.08,0.198,36,37.5,27.8,0,2,81,3,29,22.1,66.5,9,15.6,192000,N1,0.55,Plaalb,5
SR2_20171001_033845_000.wav,0.084,0.098,37,38.2,27.8,0,1.9,45,4,31,20.1,53.1,7,14.2,192000,N1,0.516,Plaalb,5
SR2_20171001_034741_000.wav,0.104,0.172,36,37.5,36.8,0,2,67,3,25,19.8,52.5,7,12.6,192000,N1,0.43,noise,5
SR2_20171001_034942_000.wav,0.052,0.042,39,36,35.2,0,1,13,5,24,81.5,165.4,21,66.6,192000,N1,0.51,Pleaur,5
SR2_20171001_035342_000.wav,0.092,0.164,37,38.2,35.2,0,1.7,76,3,25,23.7,62.4,9,17.6,192000,N1,0.568,noise,5
SR2_20171001_035426_000.wav,0.086,0.178,36,37.5,36.8,0,1.6,66,3,25,22.7,56.9,9,17.3,192000,N1,0.428,Plaalb,5
SR2_20171001_041009_000.wav,0.07,0.138,39,39,39,0,1.4,77,3,17,30.8,94.4,12,25.6,192000,N1,0.406,noise,5
SR2_20171001_041115_000.wav,0.158,0.13,39,42,39.8,0,1.3,47,2,27,34.6,96,12,28.6,192000,N1,0.436,Plaalb,5
SR2_20171001_041133_000.wav,0.088,0.186,39,37.5,36.8,0,2,113,2,9,46.5,183.1,17,39.7,192000,N1,0.444,noise,5
SR2_20171001_041158_000.wav,0.104,0.138,41,40.5,37.5,0,1.1,41,2,33,38.4,111.1,13,31.7,192000,N1,0.47,noise,5
SR2_20171001_041202_000.wav,0.06,0.15,40,37.5,37.5,0,1.2,65,2,19,56.6,166.3,20,49,192000,N1,0.468,Plaalb,5
SR2_20171001_041220_000.wav,0.062,0.18,40,36.8,37.5,0,2.6,94,2,27,57.4,155.5,19,49.5,192000,N1,0.402,Plaalb,5
SR2_20171001_041328_000.wav,0.048,0.154,38,36.8,36,0,1.2,14,2,14,44.5,98.5,16,35.1,192000,N1,0.596,noise,5
SR2_20171001_042550_000.wav,0.064,0.158,26,26.2,26.2,0,2.3,101,3,32,32.9,74.4,12,28.3,192000,N1,0.57,Plaalb,5
SR2_20171001_043123_000.wav,0.128,0.146,36,37.5,36.8,0,1.1,63,2,23,32.2,70.8,13,26.2,192000,N1,0.57,Plaalb,5
SR2_20171001_043141_000.wav,0.096,0.142,33,36,35.2,0,1.1,60,2,26,31.9,61.1,13,26.5,192000,N1,0.572,Plaalb,5
SR2_20171001_052750_000.wav,0.026,0.028,46,45.8,45,0,2.1,31,7,22,35.2,73.3,10,22.3,192000,N1,0.848,Pippip,5
SR2_20171001_052759_000.wav,0.046,0.124,47,45,44.2,0,4.4,87,8,33,68.5,275.2,19,51.6,192000,N1,0.876,Pippip,5
SR2_20171001_175701_000.wav,0.074,0.084,45,45.8,45.8,0,1.7,36,7,23,64.7,110,14,53.1,192000,N1,0.826,Pippip,5
SR2_20171001_180616_000.wav,0.052,0.076,52,52.5,52.5,0,3.1,50,8,26,66.2,133,19,49.3,192000,N1,0.852,Pippyg,5
SR2_20171001_181435_000.wav,0.04,0.14,44,46.5,46.5,0,2.7,46,5,24,27.7,119.1,12,20,192000,N1,0.758,Pippip,5
SR2_20171001_194902_000.wav,0.048,0.074,34,34.1,33.8,0,1.1,12,5,20,34,106.3,13,22.8,192000,N1,0.492,Barbar,5
SR2_20171001_232337_000.wav,0.052,0.13,47,45.8,45.8,0,4.2,95,4,22,33.3,114.8,13,24.4,192000,N1,0.94,Pippip,5
SR2_20171001_233604_000.wav,0.138,0.156,36,39,28.1,0,1.8,135,1,8,28.8,61.9,11,22.1,192000,N1,0.75,Plaalb,5
SR2_20171002_000204_000.wav,0.044,0.042,38,36.8,37.5,0.1,3,31,5,21,71.2,120.1,25,47.9,192000,N1,0.67,Barbar,5
SR2_20171002_000210_000.wav,0.036,0.05,34,34.5,34.5,0,1.4,9,4,26,28.8,91.8,9,16.4,192000,N1,0.584,Barbar,5
SR2_20171002_000217_000.wav,0.064,0.024,34,35.2,35.2,0,2.6,31,4,23,38.7,74.3,12,28.7,192000,N1,0.616,Barbar,5
SR2_20171002_044432_000.wav,0.034,0.036,53,50.2,25.5,0,2.2,31,5,8,27.5,78.5,8,15.7,192000,N1,0.91,Pippyg,5
SR2_20171002_044704_000.wav,0.082,0.072,34,35.2,35.2,0,2,45,3,15,31.6,97.2,11,20,192000,N1,0.666,Barbar,5
SR2_20171002_050606_000.wav,0.008,0.01,52,49.5,48,0,1.1,7,8,26,90,142.4,34,75.8,192000,N1,0.722,Pippip,5
SR2_20171002_052657_000.wav,0.016,0.02,53,47.2,45.8,0,1.3,15,7,31,90.7,175.5,22,74.3,192000,N1,0.872,Pippip,5
SR2_20171002_053252_000.wav,0.006,0.024,54,54,53.2,0,2.8,25,8,19,43.4,124.1,12,26,192000,N1,0.818,Pippyg,5
SR2_20171002_180633_000.wav,0.058,0.094,49,48,48,0,2.5,40,6,25,61.2,121.5,18,41.1,192000,N1,0.818,Pippip,5
SR2_20171002_184558_000.wav,0.164,0.054,34,35.2,35.2,0,1.6,15,4,13,30,67.7,9,24.5,192000,N1,0.738,Barbar,5
SR2_20171002_190642_000.wav,0.162,0.076,45,42,43.5,0,2.6,53,5,13,64.2,104.3,21,44.7,192000,N1,0.504,Myodau,5
SR2_20171002_203141_000.wav,0.038,0.062,44,38.2,37.5,0,3.1,61,3,15,131.1,244.2,45,103.3,192000,N1,0.63,Pleaur,5
SR2_20171002_230307_000.wav,0.044,0.09,35,35.2,35.2,0,3,23,4,24,41.8,134.4,14,33.6,192000,N1,0.73,Barbar,5
SR2_20171002_230315_000.wav,0.036,0.108,35,35.2,35.2,0,2,36,4,18,37.1,93.4,14,24.3,192000,N1,0.722,Barbar,5
SR2_20171002_234025_000.wav,0.012,0.056,39,39,39,0,1.4,8,9,26,32.3,82.6,8,16.9,192000,N1,0.682,Pipnat,5
SR2_20171003_050027_000.wav,0.024,0.062,51,48,47.2,0,3.8,59,5,25,48.4,103,15,35.7,192000,N1,0.944,Pippip,5
SR2_20171003_061633_000.wav,0.022,0.116,32,31.5,31.5,0,0.4,16,8,49,12.9,31.9,5,7.7,192000,N1,0.358,Aposyl,5
SR2_20171003_175603_000.wav,0.008,0.028,43,42.8,42.8,0,1.8,12,9,32,37.8,69.9,10,24.8,192000,N1,0.55,Pippip,5
SR2_20171003_180654_000.wav,0.016,0.026,46,45,45,0,1,8,7,24,14.8,48.4,5,8.6,192000,N1,0.802,Pippip,5
SR2_20171003_180700_000.wav,0.022,0.04,46,45,44.2,0,2.9,31,8,36,63.1,165.5,15,51.7,192000,N1,0.924,Pippip,5
SR2_20171003_184841_000.wav,0.024,0.018,51,47.2,45.8,0,2.8,25,6,28,64,125.6,20,52.1,192000,N1,0.914,Pippip,5
SR2_20171003_190334_000.wav,0.008,0.012,44,44.2,43.1,0,1.6,14,8,30,46,91.8,13,34.4,192000,N1,0.706,Pippip,5
SR2_20171003_191941_000.wav,0.018,0.026,50,46.5,45.8,0,2.9,38,7,34,94.1,183.7,21,76,192000,N1,0.91,Pippip,5
SR2_20171003_204401_000.wav,0.036,0.066,32,32.2,29.2,0,0.2,13,8,24,19.1,71.7,5,9.4,192000,N1,0.302,Aposyl,5
SR2_20171003_230330_000.wav,0.016,0.024,47,46.5,46.1,0,3.8,23,8,40,55.6,180.1,19,45.3,192000,N1,0.848,Pippip,5
SR2_20171003_232905_000.wav,0.032,0.04,51,48,46.5,0,3.1,28,6,24,51.9,109.4,15,42.1,192000,N1,0.89,Pippip,5
SR2_20171003_234119_000.wav,0.07,0.042,42,39,39,0,2.7,36,5,17,96,219.6,34,75.8,192000,N1,0.702,Pleaur,5
SR2_20171004_024114_000.wav,0.114,0.088,41,38.6,34.9,0,2.3,42,3,15,113.7,184.4,43,86.9,192000,N1,0.644,Pleaur,5
SR2_20171004_024950_000.wav,0.01,0.028,49,45.8,45,0,5,29,7,26,70.6,106.8,17,59.9,192000,N1,0.866,Pippip,5
SR2_20171004_024955_000.wav,0.018,0.052,46,44.2,44.2,0,1,14,4,15,14.1,67.3,6,4.5,192000,N1,0.768,Pippip,5
SR2_20171004_040902_000.wav,0.032,0.026,51,48,46.9,0,1.1,8,6,29,37.7,69.8,11,32.5,192000,N1,0.794,Pippip,5
SR2_20171004_041633_000.wav,0.094,0.074,57,50.2,53.2,0,2.5,54,2,6,321.9,860.6,150,263.7,192000,N1,0.666,Myonat,5
